service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
25393424,0,0,0,0,0,0,0,20190522,20201231
25391499,0,0,0,0,0,1,0,20190727,20190831
25391501,0,0,0,0,0,1,0,20190727,20190831
25391503,0,0,0,0,0,1,0,20190727,20190831
25391505,0,0,0,0,0,1,0,20190727,20190831
25391507,0,0,0,0,0,1,0,20190727,20190831
25391509,0,0,0,0,0,1,0,20190727,20190831
25391511,0,0,0,0,0,1,0,20190727,20190831
25391513,0,0,0,0,0,1,0,20190727,20190831
25391515,0,0,0,0,0,1,0,20190727,20190831
25391517,0,0,0,0,0,1,0,20190727,20190831
25391519,0,0,0,0,0,1,0,20190727,20190831
25391521,0,0,0,0,0,1,0,20190727,20190831
25392125,0,0,0,0,0,0,1,20190728,20190811
25392130,0,0,0,0,0,0,1,20190728,20190811
25392135,0,0,0,0,0,0,1,20190728,20190811
25392140,0,0,0,0,0,0,1,20190728,20190811
25392145,0,0,0,0,0,0,1,20190728,20190811
25392150,0,0,0,0,0,0,1,20190728,20190811
25392155,0,0,0,0,0,0,1,20190728,20190811
25392160,0,0,0,0,0,0,1,20190728,20190811
25392165,0,0,0,0,0,0,1,20190728,20190811
25392170,0,0,0,0,0,0,1,20190728,20190811
25392175,0,0,0,0,0,0,1,20190728,20190811
25392180,0,0,0,0,0,0,1,20190728,20190811
25393509,0,0,0,0,0,1,0,20190525,20190720
25393513,0,0,0,0,0,1,0,20190525,20190720
25393617,0,0,0,0,0,1,0,20190525,20190720
25391475,0,0,0,0,0,0,1,20190526,20190721
25393650,1,1,1,1,1,0,0,20190701,20190726
25393171,1,1,1,1,1,0,0,20190729,20190830
25393199,1,1,1,1,1,0,0,20190729,20190830
25393505,0,0,0,0,0,1,0,20190525,20190720
25393501,0,0,0,0,0,1,0,20190525,20190720
25393178,1,1,1,1,1,0,0,20190729,20190830
25393660,1,1,1,1,1,0,0,20190701,20190726
25393670,1,1,1,1,1,0,0,20190701,20190726
25393185,1,1,1,1,1,0,0,20190729,20190830
25393192,1,1,1,1,1,0,0,20190729,20190830
