agency_id,route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,191192,,731 - Moscavide-Centro,,3,,,
1,191195,,760 - G. Freire,,3,,,
1,191196,,773 - Alcântara-Terra,,3,,,
1,191156,,759 - Sul e Sueste,,3,,,
1,191160,,797 - P. Chile,,3,,,
1,191161,,797 - Sapadores,,3,,,
1,191114,,201 - Cais Sodré,,3,,,
1,161795,,701 - Campo Ourique,,3,,,
1,161796,,701 - Campo Ourique,,3,,,
1,191674,,712 - Alcântara,,3,,,
1,191129,,32B - Amendoeiras (Metro),,3,,,
1,176374,,706 - Est. S. Apolónia,,3,,,
1,176375,,706 - Est. S. Apolónia,,3,,,
1,176376,,706 - Cais Sodré,,3,,,
1,191649,,31B - Vale Formoso,,3,,,
1,191650,,31B - B. Alfinetes,,3,,,
1,191679,,726 - Pontinha (Centro),,3,,,
1,191680,,726 - Pontinha (Centro),,3,,,
1,191681,,726 - Pontinha (Centro),,3,,,
1,191689,,730 - Picoas,,3,,,
1,192176,,747 - Campo Grande Metro,,3,,,
1,192119,,15E - Algés,,3,,,
1,192120,,15E - Pr. Figueira,,3,,,
1,192123,,727 - Restelo,,3,,,
1,192124,,727 - Restelo,,3,,,
1,192125,,727 - Est. Roma-Areeiro,,3,,,
1,192127,,774 - Gomes Freire,,3,,,
1,192130,,781 - Prior Velho,,3,,,
1,192131,,781 - Cais Sodré,,3,,,
1,192132,,79B - Algés,,3,,,
1,161797,,702 - Marquês Pombal,,3,,,
1,161798,,702 - Marquês Pombal,,3,,,
1,161799,,705 - Estação Oriente,,3,,,
1,191617,,720 - Calvário,,3,,,
1,191618,,724 - Alcântara,,3,,,
1,191619,,724 - Alcântara,,3,,,
1,192174,,742 - Ajuda,,3,,,
1,192185,,767 - Reboleira (Estação),,3,,,
1,192186,,767 - Reboleira (Estação),,3,,,
1,192187,,794 - Estação Oriente,,3,,,
1,192188,,794 - T. Paço,,3,,,
1,191141,,728 - Restelo,,3,,,
1,191142,,735 - Hosp. Sta. Maria,,3,,,
1,191143,,735 - Hosp. Sta. Maria,,3,,,
1,191635,,770 - Sete Rios,,3,,,
1,191636,,770 - Sete Rios,,3,,,
1,191151,,746 - M. Pombal,,3,,,
1,191152,,746 - M. Pombal,,3,,,
1,191153,,754 - Alfragide,,3,,,
1,191154,,754 - C. Pequeno,,3,,,
1,191155,,759 - Est. Oriente,,3,,,
1,191136,,714 - Outurela,,3,,,
1,183490,,25E - Prazeres,,3,,,
1,191706,,18E - Cemit. Ajuda,,3,,,
1,191708,,18E - Cais Sodré,,3,,,
1,191709,,714 - Outurela,,3,,,
1,191663,,24E - Pç. Luis Camões,,3,,,
1,191710,,750 - Algés,,3,,,
1,191711,,750 - Est. Oriente,,3,,,
1,191666,,24E - Campolide,,3,,,
1,191667,,723 - Algés,,3,,,
1,161297,,718 - ISEL,,3,,,
1,161290,,706 - Est. S. Apolónia,,3,,,
1,191712,,728 - Portela,,3,,,
1,161913,,712 - Est. Sta. Apolónia,,3,,,
1,161924,,734 - Est. Sta. Apolónia,,3,,,
1,161050,,702 - Serafina,,3,,,
1,162159,,729 - B. Padre Cruz,,3,,,
1,162162,,753 - Centro Sul,,3,,,
1,162163,,753 - Pç. José Fontana,,3,,,
1,191097,,758 - Cais Sodré,,3,,,
1,191102,,764 - Damaia de cima,,3,,,
1,191103,,764 - Damaia de cima,,3,,,
1,191110,,15E - Pr. Figueira,,3,,,
1,191118,,208 - Estação Oriente,,3,,,
1,191121,,210 - Cais Sodré,,3,,,
1,191122,,26B - Parque Nações Norte,,3,,,
1,191123,,26B - Parque Nações Sul,,3,,,
1,191124,,28E - Prazeres,,3,,,
1,192179,,751 - Linda-a-Velha,,3,,,
1,192180,,751 - Linda-a-Velha,,3,,,
1,192181,,760 - Cemit. Ajuda,,3,,,
1,192182,,760 - Cemit. Ajuda,,3,,,
1,192183,,760 - Cemit. Ajuda,,3,,,
1,192184,,760 - Cemit. Ajuda,,3,,,
1,192177,,751 - Linda-a-Velha,,3,,,
1,192178,,751 - Linda-a-Velha,,3,,,
1,191620,,724 - Alcântara,,3,,,
1,191621,,736 - Cais Sodré,,3,,,
1,191622,,738 - A. S. Amaro,,3,,,
1,191625,,742 - B. Madre Deus,,3,,,
1,191626,,742 - B. Madre Deus,,3,,,
1,191627,,742 - B. Madre Deus,,3,,,
1,191628,,744 - Moscavide,,3,,,
1,191629,,744 - Marquês Pombal,,3,,,
1,160134,,705 - Estação Oriente,,3,,,
