shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
149554,38.742155,-9.102203,1,
149554,38.744609,-9.102136,2,
149554,38.747181,-9.104732,3,
149554,38.749498,-9.10488,4,
149554,38.747094,-9.104972,5,
149554,38.746741,-9.106876,6,
149554,38.747978,-9.107805,7,
149554,38.744363,-9.110927,8,
149554,38.743196,-9.111952,9,
149554,38.74446,-9.113232,10,
149554,38.746554,-9.11281,11,
149554,38.748168,-9.112946,12,
149554,38.752047,-9.113506,13,
149554,38.755094,-9.113547,14,
149554,38.756647,-9.114626,15,
149554,38.757103,-9.116177,16,
149554,38.756865,-9.11851,17,
149554,38.756424,-9.120641,18,
149554,38.758117,-9.122929,19,
149554,38.759256,-9.124715,20,
149554,38.757395,-9.126546,21,
149554,38.755319,-9.126414,22,
149554,38.754164,-9.124885,23,
149554,38.75276,-9.123598,24,
149554,38.751065,-9.124555,25,
149554,38.7529,-9.126274,26,
149554,38.754581,-9.13162,27,
149554,38.754854,-9.134221,28,
149554,38.754684,-9.136554,29,
149554,38.755077,-9.138838,30,
149554,38.753418,-9.143276,31,
149554,38.754219,-9.14442,32,
149554,38.756315,-9.146929,33,
149554,38.754808,-9.152563,34,
149554,38.753847,-9.156517,35,
149554,38.750757,-9.158865,36,
149554,38.75019,-9.161581,37,
149554,38.748206,-9.16542,38,
149554,38.746891,-9.167886,39,
149554,38.745077,-9.168628,40,
149554,38.742098,-9.168552,41,
160134,38.745576,-9.135208,1,
160134,38.743412,-9.132416,2,
160134,38.745694,-9.131128,3,
160134,38.7496,-9.13075,4,
160134,38.7526,-9.13046,5,
160134,38.755087,-9.130205,6,
160134,38.757914,-9.129931,7,
160134,38.762168,-9.129477,8,
160134,38.767825,-9.128712,9,
160134,38.769828,-9.126596,10,
160134,38.774126,-9.125878,11,
160134,38.775956,-9.126369,12,
160134,38.777854,-9.126845,13,
160134,38.78099,-9.124841,14,
160134,38.78265,-9.125214,15,
160134,38.781403,-9.120347,16,
160134,38.779131,-9.120172,17,
160134,38.77707,-9.1159,18,
160134,38.776092,-9.113833,19,
160134,38.775372,-9.110767,20,
160134,38.773794,-9.10476,21,
160134,38.77478,-9.101771,22,
160134,38.774377,-9.097532,23,
160134,38.771328,-9.097768,24,
160134,38.767173,-9.099085,25,
160134,38.767759,-9.100032,26,
160165,38.713912,-9.13802,1,
160165,38.710048,-9.135271,2,
160165,38.709761,-9.133769,3,
160165,38.710327,-9.13163,4,
160165,38.711944,-9.13091,5,
160165,38.71229,-9.13249,6,
160166,38.71229,-9.13249,1,
160166,38.71179,-9.132885,2,
160166,38.711314,-9.130714,3,
160166,38.710166,-9.13234,4,
160166,38.710052,-9.134268,5,
160166,38.709944,-9.135962,6,
160166,38.713912,-9.13802,7,
160179,38.725664,-9.149046,1,
160179,38.725307,-9.151907,2,
160179,38.725106,-9.155305,3,
160179,38.724375,-9.160904,4,
160179,38.723244,-9.166678,5,
160179,38.727745,-9.212401,6,
160179,38.713882,-9.225103,7,
160179,38.714244,-9.226306,8,
160179,38.715005,-9.229437,9,
160179,38.714926,-9.231207,10,
160179,38.716023,-9.235666,11,
160180,38.715833,-9.235655,1,
160180,38.714856,-9.231514,2,
160180,38.714636,-9.229225,3,
160180,38.714145,-9.22722,4,
160180,38.713332,-9.225254,5,
160180,38.711082,-9.22619,6,
160180,38.723303,-9.165632,7,
160180,38.724091,-9.160724,8,
160180,38.724903,-9.154848,9,
160180,38.724659,-9.150856,10,
160180,38.725664,-9.149046,11,
160185,38.729876,-9.143497,1,
160185,38.727757,-9.145792,2,
160185,38.725565,-9.148617,3,
160185,38.725307,-9.151907,4,
160185,38.725106,-9.155305,5,
160185,38.724375,-9.160904,6,
160185,38.723244,-9.166678,7,
160185,38.673814,-9.174005,8,
160185,38.667593,-9.163809,9,
160221,38.760812,-9.157505,1,
160221,38.7611,-9.157183,2,
160221,38.764567,-9.157,3,
160221,38.767189,-9.157922,4,
160221,38.770342,-9.15971,5,
