service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
25209758,1,1,1,1,1,0,0,20190412,20290412
25209760,1,1,1,1,1,0,0,20190412,20290412
25209762,1,1,1,1,1,0,0,20190412,20290412
25209764,1,1,1,1,1,0,0,20190412,20290412
25209766,1,1,1,1,1,0,0,20190412,20290412
25209768,1,1,1,1,1,0,0,20190412,20290412
25209770,1,1,1,1,1,0,0,20190412,20290412
25209772,1,1,1,1,1,0,0,20190412,20290412
25209774,1,1,1,1,1,0,0,20190412,20290412
25209776,0,0,0,0,0,1,0,20190412,20290412
25209778,0,0,0,0,0,1,0,20190412,20290412
25209780,0,0,0,0,0,0,1,20190412,20290412
25209782,0,0,0,0,0,0,1,20190412,20290412
25209775,1,1,1,1,1,0,0,20190412,20290412
25209773,1,1,1,1,1,0,0,20190412,20290412
25209771,1,1,1,1,1,0,0,20190412,20290412
25209769,1,1,1,1,1,0,0,20190412,20290412
25209767,1,1,1,1,1,0,0,20190412,20290412
25209765,1,1,1,1,1,0,0,20190412,20290412
25209763,1,1,1,1,1,0,0,20190412,20290412
25209761,1,1,1,1,1,0,0,20190412,20290412
25209759,1,1,1,1,1,0,0,20190412,20290412
25209777,0,0,0,0,0,1,0,20190412,20290412
25209779,0,0,0,0,0,1,0,20190412,20290412
25209781,0,0,0,0,0,0,1,20190412,20290412
25209783,0,0,0,0,0,0,1,20190412,20290412
25209718,1,1,1,1,1,0,0,20190412,20290412
25209720,1,1,1,1,1,0,0,20190412,20290412
25209722,1,1,1,1,1,0,0,20190412,20290412
25209724,1,1,1,1,1,0,0,20190412,20290412
25209726,1,1,1,1,1,0,0,20190412,20290412
25209728,1,1,1,1,1,0,0,20190412,20290412
25209730,1,1,1,1,1,0,0,20190412,20290412
25209732,1,1,1,1,1,0,0,20190412,20290412
25209734,1,1,1,1,1,0,0,20190412,20290412
25209736,1,1,1,1,1,0,0,20190412,20290412
25209738,1,1,1,1,1,0,0,20190412,20290412
25209740,1,1,1,1,1,0,0,20190412,20290412
25209742,0,0,0,0,0,1,0,20190412,20290412
25209744,0,0,0,0,0,1,0,20190412,20290412
25209746,0,0,0,0,0,1,0,20190412,20290412
25209748,0,0,0,0,0,1,0,20190412,20290412
25209750,0,0,0,0,0,0,1,20190412,20290412
25209752,0,0,0,0,0,0,1,20190412,20290412
25209754,0,0,0,0,0,0,1,20190412,20290412
25209756,0,0,0,0,0,0,1,20190412,20290412
25209741,1,1,1,1,1,0,0,20190412,20290412
25209739,1,1,1,1,1,0,0,20190412,20290412
25209737,1,1,1,1,1,0,0,20190412,20290412
25209735,1,1,1,1,1,0,0,20190412,20290412
25209733,1,1,1,1,1,0,0,20190412,20290412
25209731,1,1,1,1,1,0,0,20190412,20290412
25209729,1,1,1,1,1,0,0,20190412,20290412
25209727,1,1,1,1,1,0,0,20190412,20290412
25209725,1,1,1,1,1,0,0,20190412,20290412
25209723,1,1,1,1,1,0,0,20190412,20290412
25209721,1,1,1,1,1,0,0,20190412,20290412
25209719,1,1,1,1,1,0,0,20190412,20290412
25209745,0,0,0,0,0,1,0,20190412,20290412
25209743,0,0,0,0,0,1,0,20190412,20290412
25209749,0,0,0,0,0,1,0,20190412,20290412
25209747,0,0,0,0,0,1,0,20190412,20290412
25209753,0,0,0,0,0,0,1,20190412,20290412
25209751,0,0,0,0,0,0,1,20190412,20290412
25209757,0,0,0,0,0,0,1,20190412,20290412
25209755,0,0,0,0,0,0,1,20190412,20290412
25209784,1,1,1,1,1,0,0,20190412,20290412
25209786,1,1,1,1,1,0,0,20190412,20290412
25209788,1,1,1,1,1,0,0,20190412,20290412
25209790,1,1,1,1,1,0,0,20190412,20290412
25209792,1,1,1,1,1,0,0,20190412,20290412
25209794,1,1,1,1,1,0,0,20190412,20290412
25209796,1,1,1,1,1,0,0,20190412,20290412
25209798,0,0,0,0,0,1,0,20190412,20290412
25209800,0,0,0,0,0,1,0,20190412,20290412
25209802,0,0,0,0,0,1,0,20190412,20290412
25209804,0,0,0,0,0,1,0,20190412,20290412
25209806,0,0,0,0,0,0,1,20190412,20290412
25209808,0,0,0,0,0,0,1,20190412,20290412
25209810,0,0,0,0,0,0,1,20190412,20290412
25209812,0,0,0,0,0,0,1,20190412,20290412
25209797,1,1,1,1,1,0,0,20190412,20290412
25209795,1,1,1,1,1,0,0,20190412,20290412
25209793,1,1,1,1,1,0,0,20190412,20290412
25209791,1,1,1,1,1,0,0,20190412,20290412
25209789,1,1,1,1,1,0,0,20190412,20290412
25209787,1,1,1,1,1,0,0,20190412,20290412
25209785,1,1,1,1,1,0,0,20190412,20290412
25209801,0,0,0,0,0,1,0,20190412,20290412
25209799,0,0,0,0,0,1,0,20190412,20290412
25209805,0,0,0,0,0,1,0,20190412,20290412
25209803,0,0,0,0,0,1,0,20190412,20290412
25209809,0,0,0,0,0,0,1,20190412,20290412
25209807,0,0,0,0,0,0,1,20190412,20290412
25209813,0,0,0,0,0,0,1,20190412,20290412
25209811,0,0,0,0,0,0,1,20190412,20290412
23473052,1,1,1,1,1,0,0,20180920,20280920
23473053,1,1,1,1,1,0,0,20180920,20280920
23473054,1,1,1,1,1,0,0,20180920,20280920
23473056,1,1,1,1,1,0,0,20180920,20280920
23473058,1,1,1,1,1,0,0,20180920,20280920
23473060,1,1,1,1,1,0,0,20180920,20280920
23473062,1,1,1,1,1,0,0,20180920,20280920
23473064,1,1,1,1,1,0,0,20180920,20280920
23473066,1,1,1,1,1,0,0,20180920,20280920
23473068,0,0,0,0,0,1,0,20180920,20280920
23473070,0,0,0,0,0,1,0,20180920,20280920
23473072,0,0,0,0,0,1,0,20180920,20280920
23473074,0,0,0,0,0,1,0,20180920,20280920
23473076,0,0,0,0,0,1,0,20180920,20280920
23473078,0,0,0,0,0,0,1,20180920,20280920
23473080,0,0,0,0,0,0,1,20180920,20280920
23473082,0,0,0,0,0,0,1,20180920,20280920
23473084,0,0,0,0,0,0,1,20180920,20280920
23473086,0,0,0,0,0,0,1,20180920,20280920
23473067,1,1,1,1,1,0,0,20180920,20280920
23473065,1,1,1,1,1,0,0,20180920,20280920
23473063,1,1,1,1,1,0,0,20180920,20280920
23473061,1,1,1,1,1,0,0,20180920,20280920
23473059,1,1,1,1,1,0,0,20180920,20280920
23473057,1,1,1,1,1,0,0,20180920,20280920
23473055,1,1,1,1,1,0,0,20180920,20280920
23473077,0,0,0,0,0,1,0,20180920,20280920
23473075,0,0,0,0,0,1,0,20180920,20280920
23473073,0,0,0,0,0,1,0,20180920,20280920
23473071,0,0,0,0,0,1,0,20180920,20280920
23473069,0,0,0,0,0,1,0,20180920,20280920
23473079,0,0,0,0,0,0,1,20180920,20280920
23473083,0,0,0,0,0,0,1,20180920,20280920
23473081,0,0,0,0,0,0,1,20180920,20280920
23473087,0,0,0,0,0,0,1,20180920,20280920
23473085,0,0,0,0,0,0,1,20180920,20280920
