trip_id,start_time,end_time,headway_secs,exact_times
25209758,06:30:00,07:15:00,450,0
25209760,07:15:00,09:30:00,230,0
25209762,09:30:00,10:00:00,265,0
25209764,10:05:50,16:40:00,700,0
25209766,16:40:00,19:00:00,245,0
25209768,19:00:00,19:30:00,290,0
25209770,19:30:00,20:00:00,355,0
25209772,20:00:00,21:00:00,535,0
25209774,21:00:00,25:05:00,525,0
25209776,06:30:00,12:00:00,520,0
25209778,12:00:00,25:05:00,525,0
25209780,06:30:00,12:00:00,520,0
25209782,12:00:00,25:05:00,525,0
25209775,21:00:00,01:05:00,525,0
25209773,20:00:00,21:00:00,535,0
25209771,19:30:00,20:00:00,355,0
25209769,19:00:00,19:30:00,290,0
25209767,16:40:00,19:00:00,245,0
25209765,10:00:00,16:40:00,700,0
25209763,09:30:00,10:00:00,265,0
25209761,07:15:00,09:30:00,230,0
25209759,06:30:00,07:15:00,450,0
25209777,06:30:00,12:00:00,520,0
25209779,12:00:00,01:05:00,525,0
25209781,06:30:00,12:00:00,520,0
25209783,12:00:00,01:05:00,525,0
25209718,06:30:00,07:00:00,420,0
25209720,07:00:00,07:30:00,350,0
25209722,07:30:00,09:30:00,260,0
25209724,09:30:00,10:00:00,275,0
25209726,10:00:00,16:30:00,400,0
25209728,16:30:00,19:30:00,300,0
25209730,19:30:00,20:00:00,325,0
25209732,20:00:00,20:30:00,400,0
25209734,20:30:00,21:00:00,440,0
25209736,21:00:00,21:30:00,495,0
25209738,21:30:00,22:30:00,485,0
25209740,22:30:00,25:05:00,645,0
25209742,06:30:00,12:00:00,495,0
25209744,12:00:00,20:30:00,440,0
25209746,20:30:00,22:30:00,485,0
25209748,22:30:00,25:05:00,640,0
25209750,06:30:00,12:00:00,495,0
25209752,12:00:00,20:30:00,440,0
25209754,20:30:00,22:30:00,485,0
25209756,22:30:00,25:05:00,640,0
25209741,22:30:00,01:05:00,645,0
25209739,21:30:00,22:30:00,485,0
25209737,21:00:00,21:30:00,495,0
25209735,20:30:00,21:00:00,440,0
25209733,20:00:00,20:30:00,400,0
25209731,19:30:00,20:00:00,325,0
25209729,16:30:00,19:30:00,300,0
25209727,10:00:00,16:30:00,400,0
25209725,09:30:00,10:00:00,275,0
25209723,07:30:00,09:30:00,260,0
25209721,07:00:00,07:30:00,350,0
25209719,06:30:00,07:00:00,420,0
25209745,12:00:00,20:30:00,440,0
25209743,06:30:00,12:00:00,495,0
25209749,22:30:00,01:05:00,640,0
25209747,20:30:00,22:30:00,485,0
25209753,12:00:00,20:30:00,440,0
25209751,06:30:00,12:00:00,495,0
25209757,22:30:00,01:05:00,640,0
25209755,20:30:00,22:30:00,485,0
25209784,06:30:00,07:15:00,585,0
25209786,07:15:00,09:45:00,360,0
25209788,09:45:00,16:30:00,420,0
25209790,16:30:00,19:30:00,360,0
25209792,19:30:00,20:30:00,425,0
25209794,20:30:00,22:30:00,475,0
25209796,22:30:00,25:05:00,565,0
25209798,06:30:00,12:00:00,490,0
25209800,12:00:00,20:30:00,420,0
25209802,20:30:00,22:15:00,480,0
25209804,22:15:00,25:05:00,570,0
25209806,06:30:00,12:00:00,490,0
25209808,12:00:00,20:30:00,420,0
25209810,20:30:00,22:15:00,480,0
25209812,22:15:00,25:05:00,570,0
25209797,22:30:00,01:05:00,565,0
25209795,20:30:00,22:30:00,475,0
25209793,19:30:00,20:30:00,425,0
25209791,16:30:00,19:30:00,360,0
25209789,09:45:00,16:30:00,420,0
25209787,07:15:00,09:45:00,360,0
25209785,06:30:00,07:15:00,585,0
25209801,12:00:00,20:30:00,420,0
25209799,06:30:00,12:00:00,490,0
25209805,22:15:00,01:05:00,570,0
25209803,20:30:00,22:15:00,480,0
25209809,12:00:00,20:30:00,420,0
25209807,06:30:00,12:00:00,490,0
25209813,22:15:00,01:05:00,570,0
25209811,20:30:00,22:15:00,480,0
23473052,10:00:00,16:30:00,700,0
23473053,10:15:44,16:30:00,700,0
23473054,06:30:00,07:15:00,410,0
23473056,07:15:00,10:00:00,335,0
23473058,10:00:00,16:15:00,365,0
23473060,16:15:00,20:30:00,335,0
23473062,20:30:00,21:00:00,360,0
23473064,21:00:00,22:15:00,475,0
23473066,22:15:00,25:15:00,710,0
23473068,06:30:00,12:00:00,485,0
23473070,12:00:00,20:30:00,490,0
23473072,20:30:00,21:30:00,485,0
23473074,21:30:00,22:30:00,570,0
23473076,22:30:00,25:05:00,710,0
23473078,06:30:00,12:00:00,485,0
23473080,12:00:00,20:30:00,490,0
23473082,20:30:00,21:30:00,485,0
23473084,21:30:00,22:30:00,570,0
23473086,22:30:00,25:05:00,710,0
23473067,22:15:00,01:15:00,710,0
23473065,21:00:00,22:15:00,475,0
23473063,20:30:00,21:00:00,360,0
23473061,16:15:00,20:30:00,335,0
23473059,10:00:00,16:15:00,365,0
23473057,07:15:00,10:00:00,335,0
23473055,06:30:00,07:15:00,410,0
23473077,22:30:00,01:05:00,710,0
23473075,21:30:00,22:30:00,570,0
23473073,20:30:00,21:30:00,485,0
23473071,12:00:00,20:30:00,490,0
23473069,06:30:00,12:00:00,485,0
23473079,06:30:00,12:00:00,485,0
23473083,20:30:00,21:30:00,485,0
23473081,12:00:00,20:30:00,490,0
23473087,22:30:00,01:05:00,710,0
23473085,21:30:00,22:30:00,570,0
