stop_id,line
M49,Vermelha
M23,Vermelha
M23,Verde
M43,Azul
M04,Azul
M20,Verde
M44,Azul
M40,Amarela
M25,Verde
M22,Verde
M11,Amarela
M29,Verde
M29,Azul
M32,Vermelha
M35,Vermelha
M30,Verde
M13,Amarela
M13,Verde
M16,Amarela
M02,Azul
M33,Vermelha
M14,Amarela
M03,Azul
M48,Vermelha
M15,Amarela
M26,Verde
M06,Azul
M05,Azul
M39,Amarela
M10,Azul
M10,Amarela
M27,Verde
M47,Vermelha
M42,Amarela
M31,Vermelha
M34,Vermelha
M36,Vermelha
M09,Azul
M18,Amarela
M01,Azul
M07,Azul
M38,Amarela
M19,Amarela
M50,Azul
M12,Verde
M21,Verde
M28,Verde
M17,Vermelha
M17,Amarela
M46,Azul
M08,Vermelha
M08,Azul
M41,Amarela
M37,Verde
M45,Azul
