route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
164,25209758,25209758,,,,164
164,25209760,25209760,,,,164
164,25209762,25209762,,,,164
164,25209764,25209764,,,,164
164,25209766,25209766,,,,164
164,25209768,25209768,,,,164
164,25209770,25209770,,,,164
164,25209772,25209772,,,,164
164,25209774,25209774,,,,164
164,25209776,25209776,,,,164
164,25209778,25209778,,,,164
164,25209780,25209780,,,,164
164,25209782,25209782,,,,164
165,25209775,25209775,,,,165
165,25209773,25209773,,,,165
165,25209771,25209771,,,,165
165,25209769,25209769,,,,165
165,25209767,25209767,,,,165
165,25209765,25209765,,,,165
165,25209763,25209763,,,,165
165,25209761,25209761,,,,165
165,25209759,25209759,,,,165
165,25209777,25209777,,,,165
165,25209779,25209779,,,,165
165,25209781,25209781,,,,165
165,25209783,25209783,,,,165
166,25209718,25209718,,,,166
166,25209720,25209720,,,,166
166,25209722,25209722,,,,166
166,25209724,25209724,,,,166
166,25209726,25209726,,,,166
166,25209728,25209728,,,,166
166,25209730,25209730,,,,166
166,25209732,25209732,,,,166
166,25209734,25209734,,,,166
166,25209736,25209736,,,,166
166,25209738,25209738,,,,166
166,25209740,25209740,,,,166
166,25209742,25209742,,,,166
166,25209744,25209744,,,,166
166,25209746,25209746,,,,166
166,25209748,25209748,,,,166
166,25209750,25209750,,,,166
166,25209752,25209752,,,,166
166,25209754,25209754,,,,166
166,25209756,25209756,,,,166
167,25209741,25209741,,,,167
167,25209739,25209739,,,,167
167,25209737,25209737,,,,167
167,25209735,25209735,,,,167
167,25209733,25209733,,,,167
167,25209731,25209731,,,,167
167,25209729,25209729,,,,167
167,25209727,25209727,,,,167
167,25209725,25209725,,,,167
167,25209723,25209723,,,,167
167,25209721,25209721,,,,167
167,25209719,25209719,,,,167
167,25209745,25209745,,,,167
167,25209743,25209743,,,,167
167,25209749,25209749,,,,167
167,25209747,25209747,,,,167
167,25209753,25209753,,,,167
167,25209751,25209751,,,,167
167,25209757,25209757,,,,167
167,25209755,25209755,,,,167
170,25209784,25209784,,,,170
170,25209786,25209786,,,,170
170,25209788,25209788,,,,170
170,25209790,25209790,,,,170
170,25209792,25209792,,,,170
170,25209794,25209794,,,,170
170,25209796,25209796,,,,170
170,25209798,25209798,,,,170
170,25209800,25209800,,,,170
170,25209802,25209802,,,,170
170,25209804,25209804,,,,170
170,25209806,25209806,,,,170
170,25209808,25209808,,,,170
170,25209810,25209810,,,,170
170,25209812,25209812,,,,170
171,25209797,25209797,,,,171
171,25209795,25209795,,,,171
171,25209793,25209793,,,,171
171,25209791,25209791,,,,171
171,25209789,25209789,,,,171
171,25209787,25209787,,,,171
171,25209785,25209785,,,,171
171,25209801,25209801,,,,171
171,25209799,25209799,,,,171
171,25209805,25209805,,,,171
171,25209803,25209803,,,,171
171,25209809,25209809,,,,171
171,25209807,25209807,,,,171
171,25209813,25209813,,,,171
171,25209811,25209811,,,,171
4921,23473052,23473052,,,,4921
4922,23473053,23473053,,,,4922
50953,23473054,23473054,,,,50953
50953,23473056,23473056,,,,50953
50953,23473058,23473058,,,,50953
50953,23473060,23473060,,,,50953
50953,23473062,23473062,,,,50953
50953,23473064,23473064,,,,50953
50953,23473066,23473066,,,,50953
50953,23473068,23473068,,,,50953
50953,23473070,23473070,,,,50953
50953,23473072,23473072,,,,50953
50953,23473074,23473074,,,,50953
50953,23473076,23473076,,,,50953
50953,23473078,23473078,,,,50953
50953,23473080,23473080,,,,50953
50953,23473082,23473082,,,,50953
50953,23473084,23473084,,,,50953
50953,23473086,23473086,,,,50953
50954,23473067,23473067,,,,50954
50954,23473065,23473065,,,,50954
50954,23473063,23473063,,,,50954
50954,23473061,23473061,,,,50954
50954,23473059,23473059,,,,50954
50954,23473057,23473057,,,,50954
50954,23473055,23473055,,,,50954
50954,23473077,23473077,,,,50954
50954,23473075,23473075,,,,50954
50954,23473073,23473073,,,,50954
50954,23473071,23473071,,,,50954
50954,23473069,23473069,,,,50954
50954,23473079,23473079,,,,50954
50954,23473083,23473083,,,,50954
50954,23473081,23473081,,,,50954
50954,23473087,23473087,,,,50954
50954,23473085,23473085,,,,50954
