OD matrix,,,,,,,,,,,,
Period: 2019-10-07 00:00:00 to 2019-10-10 00:00:00 ,,,,,,,,,,,,
Granularity: TAZ ,,,,,,,,,,,,
Entries: all routes; all stops,,,,,,,,,,,,
Exits: all routes; all stops,,,,,,,,,,,,
Daily period: 04:00:00 to 03:59:00 ,,,,,,,,,,,,
Days of week: working days,,,,,,,,,,,,
Card titles: all,,,,,,,,,,,,
,,,,,,,,,,,,
itaz,ftaz,volume,average_volume_per_day,volume_of_transfers,number_of_transfers,transfer_distance,transfer_time,travel_time,trust_level,,,
Ajuda (Ajuda | Norte),Ajuda (Ajuda | Norte),38,9.5,6,0.16,0.000,1.877,4.019,74.45,,,
Ajuda (Ajuda | Norte),Ajuda (Ajuda | Oeste),6,1.5,1,0.17,0.000,0.605,3.835,93.33,,,
Ajuda (Ajuda | Norte),Ajuda (Ajuda | Sul),96,24.0,30,0.31,0.021,6.080,10.680,91.27,,,
Ajuda (Ajuda | Norte),Ajuda (Restelo),42,10.5,5,0.12,0.017,1.863,4.801,92.22,,,
Ajuda (Ajuda | Norte),Alcantara (Santo Amaro | Norte),,,,,,,,,,,
Ajuda (Ajuda | Norte),Alcantara (Santo Amaro | Oeste),,,,,,,,,,,
Ajuda (Ajuda | Norte),Alcantara (Santo Amaro | Sul),9,2.3,27,3.00,0.101,37.702,49.151,96.6,,,
Ajuda (Ajuda | Norte),Alvalade (Alvalade),1,0.3,1,1.00,0.190,26.638,45.414,89,,,
Ajuda (Ajuda | Norte),Alvalade (Avenida do Brasil),,,,,,,,,,,
Ajuda (Ajuda | Norte),Alvalade (Campo Grande),5,1.3,7,1.40,0.121,21.884,38.521,90.1,,,
Ajuda (Ajuda | Norte),Alvalade (Cidade Universitaria),,,,,,,,,,,
Ajuda (Ajuda | Norte),Alvalade (Hospital Santa Maria | Este),1,0.3,2,2.00,0.000,56.185,76.300,,,,
Ajuda (Ajuda | Norte),Alvalade (Hospital Santa Maria | Oeste),5,1.3,5,1.00,0.116,20.141,38.685,97.2,,,
Ajuda (Ajuda | Norte),Alvalade (Roma - Areeiro | Este),1,0.3,1,1.00,0.069,6.997,24.437,100,,,
Ajuda (Ajuda | Norte),Alvalade (Roma - Areeiro | Oeste),,,,,,,,,,,
Ajuda (Ajuda | Norte),Alvalade (Sao Joao de Brito),12,3.0,13,1.08,0.016,13.265,33.175,100,,,
Ajuda (Ajuda | Norte),Areeiro (Alto Pina),1,0.3,1,1.00,0.050,20.872,35.991,86.5,,,
Ajuda (Ajuda | Norte),Areeiro (Areeiro | Norte),1,0.3,1,1.00,0.000,12.266,36.756,100,,,
Ajuda (Ajuda | Norte),Areeiro (Areeiro | Sul),,,,,,,,,,,
Ajuda (Ajuda | Norte),Arroios (Anjos),41,10.3,10,0.24,0.009,1.598,12.674,77.2,,,
Ajuda (Ajuda | Norte),Arroios (Arroios | Norte),,,,,,,,,,,
Ajuda (Ajuda | Norte),Arroios (Arroios | Sul),10,2.5,4,0.40,0.033,8.063,18.949,97.81,,,
Ajuda (Ajuda | Norte),Arroios (Estefania),13,3.3,23,1.77,0.081,23.724,42.091,89.33,,,
Ajuda (Ajuda | Norte),Avenidas Novas (Avenidas Novas | Este),3,0.8,3,1.00,0.234,32.334,53.064,78.67,,,
Ajuda (Ajuda | Norte),Avenidas Novas (Avenidas Novas | Oeste),,,,,,,,,,,
Ajuda (Ajuda | Norte),Avenidas Novas (Bairro Santos | Este),4,1.0,4,1.00,0.000,34.588,68.512,,,,
Ajuda (Ajuda | Norte),Avenidas Novas (Bairro Santos | Oeste),1,0.3,3,3.00,0.000,56.108,84.802,,,,
Ajuda (Ajuda | Norte),Avenidas Novas (Campo Pequeno | Este),1,0.3,1,1.00,0.156,18.053,28.873,100,,,
Ajuda (Ajuda | Norte),Avenidas Novas (Campo Pequeno | Oeste),,,,,,,,,,,
Ajuda (Ajuda | Norte),Avenidas Novas (Parque Eduardo VII),12,3.0,3,0.25,0.078,21.150,40.849,90.78,,,
Ajuda (Ajuda | Norte),Avenidas Novas (Picoas),5,1.3,6,1.20,0.019,17.876,29.753,91.2,,,
Ajuda (Ajuda | Norte),Beato (Madre Deus | Norte),,,,,,,,,,,
Ajuda (Ajuda | Norte),Beato (Madre Deus | Oeste),1,0.3,0,0.00,0.000,0.000,26.350,100,,,
Ajuda (Ajuda | Norte),Beato (Madre Deus | Sul),1,0.3,0,0.00,0.000,0.000,22.524,90,,,
Ajuda (Ajuda | Norte),Beato (Picheleira),1,0.3,1,1.00,0.061,21.605,43.629,100,,,
Ajuda (Ajuda | Norte),Belem (Alto Duque),28,7.0,0,0.00,0.000,0.000,5.029,83.92,,,
Ajuda (Ajuda | Norte),Belem (Belem | Este),1,0.3,1,1.00,0.101,10.329,17.152,87,,,
Ajuda (Ajuda | Norte),Belem (Belem | Oeste),230,57.5,13,0.06,0.000,0.569,8.572,98.67,,,
Ajuda (Ajuda | Norte),Belem (Ribeirinha - Belem),,,,,,,,,,,
Ajuda (Ajuda | Norte),Benfica (Benfica | Norte),16,4.0,20,1.25,0.165,15.965,27.759,91,,,
Ajuda (Ajuda | Norte),Benfica (Benfica | Sul),403,100.8,32,0.08,0.000,0.414,7.557,98.6,,,
Ajuda (Ajuda | Norte),Benfica (Colegio Militar/Luz),180,45.0,30,0.17,0.013,1.369,17.733,97.38,,,
Ajuda (Ajuda | Norte),Benfica (Monsanto | Norte),13,3.3,5,0.38,0.028,2.441,6.762,84.12,,,
Ajuda (Ajuda | Norte),Campo de Ourique (Amoreiras),113,28.3,6,0.05,0.000,0.731,10.909,96.38,,,
Ajuda (Ajuda | Norte),Campo de Ourique (Campo Ourique),3,0.8,3,1.00,0.036,8.290,17.567,99.33,,,
Ajuda (Ajuda | Norte),Campolide (Bairro Liberdade),2,0.5,2,1.00,0.497,28.837,45.931,75.75,,,
Ajuda (Ajuda | Norte),Campolide (Campolide),17,4.3,10,0.59,0.057,7.949,20.552,87.69,,,
Ajuda (Ajuda | Norte),Campolide (Praca Espanha | Norte),1,0.3,1,1.00,0.040,16.744,35.642,100,,,
Ajuda (Ajuda | Norte),Campolide (Praca Espanha | Sul),3,0.8,0,0.00,0.000,0.000,9.287,40,,,
Ajuda (Ajuda | Norte),Carnide (Avenidas Novas),12,3.0,7,0.58,0.039,5.268,16.034,91.23,,,
Ajuda (Ajuda | Norte),Carnide (Carnide),88,22.0,28,0.32,0.012,3.188,21.270,95.13,,,
Ajuda (Ajuda | Norte),Estrela (Alcantara),5,1.3,5,1.00,0.124,11.423,21.581,96.33,,,
Ajuda (Ajuda | Norte),Estrela (Estrela),2,0.5,3,1.50,0.087,19.580,34.137,99.25,,,
Ajuda (Ajuda | Norte),Estrela (Lapa),,,,,,,,,,,
Ajuda (Ajuda | Norte),Estrela (Ribeirinha - Belem),,,,,,,,,,,
Ajuda (Ajuda | Norte),Fora Municipio Lisboa,496,124.0,111,0.22,0.019,3.943,17.086,98.9,,,
Ajuda (Ajuda | Norte),Lumiar (Aeroporto),1,0.3,1,1.00,0.000,8.916,32.199,100,,,
Ajuda (Ajuda | Norte),Lumiar (Lumiar | Norte),1,0.3,2,2.00,0.000,55.415,95.512,,,,
Ajuda (Ajuda | Norte),Lumiar (Lumiar | Oeste),1,0.3,2,2.00,0.000,10.208,33.095,,,,
Ajuda (Ajuda | Norte),Lumiar (Lumiar | Sul),,,,,,,,,,,
Ajuda (Ajuda | Norte),Lumiar (Paco Lumiar),1,0.3,3,3.00,0.058,14.546,31.636,99.5,,,
Ajuda (Ajuda | Norte),Lumiar (Parque Europa),4,1.0,5,1.25,0.000,29.169,50.120,,,,
Ajuda (Ajuda | Norte),Lumiar (Telheiras | Este),6,1.5,7,1.17,0.000,31.191,62.210,100,,,
Ajuda (Ajuda | Norte),Lumiar (Telheiras | Norte),4,1.0,4,1.00,0.011,29.462,50.923,100,,,
Ajuda (Ajuda | Norte),Lumiar (Telheiras | Oeste),5,1.3,9,1.80,0.076,24.625,53.938,99.58,,,
Ajuda (Ajuda | Norte),Marvila (Bairro Armador),,,,,,,,,,,
Ajuda (Ajuda | Norte),Marvila (Chelas),1,0.3,3,3.00,0.000,26.984,66.774,,,,
Ajuda (Ajuda | Norte),Marvila (Infante Dom Henrique - Porto | Este),3,0.8,5,1.67,0.000,44.877,80.224,,,,
Ajuda (Ajuda | Norte),Marvila (Infante Dom Henrique - Porto | Oeste),,,,,,,,,,,
Ajuda (Ajuda | Norte),Marvila (Marechal Gomes da Costa),3,0.8,4,1.33,0.016,9.941,30.419,87.5,,,
Ajuda (Ajuda | Norte),Marvila (Parque Bela Vista),1,0.3,2,2.00,0.000,8.860,38.758,,,,
Ajuda (Ajuda | Norte),Misericordia (Bairro Alto),2,0.5,7,3.50,0.040,20.218,40.063,100,,,
Ajuda (Ajuda | Norte),Misericordia (Sao Paulo),5,1.3,9,1.80,0.045,11.741,23.598,100,,,
Ajuda (Ajuda | Norte),Olivais (Alfredo Bensaude),2,0.5,3,1.50,0.165,26.717,58.984,99.25,,,
Ajuda (Ajuda | Norte),Olivais (Encarnacao | Este),,,,,,,,,,,
Ajuda (Ajuda | Norte),Olivais (Encarnacao | Oeste),,,,,,,,,,,
Ajuda (Ajuda | Norte),Olivais (Logistica Aeroportuaria),,,,,,,,,,,
Ajuda (Ajuda | Norte),Olivais (Olivais - Centro),1,0.3,3,3.00,0.000,21.810,47.972,,,,
Ajuda (Ajuda | Norte),Olivais (Olivais | Este),,,,,,,,,,,
Ajuda (Ajuda | Norte),Olivais (Olivais | Norte),1,0.3,3,3.00,0.000,16.835,74.596,,,,
Ajuda (Ajuda | Norte),Olivais (Olivais | Sul),4,1.0,9,2.25,0.022,35.272,71.734,100,,,
Ajuda (Ajuda | Norte),Olivais (Relogio),,,,,,,,,,,
Ajuda (Ajuda | Norte),Parque das Nacoes (Estacao Oriente),1,0.3,1,1.00,0.025,32.579,65.968,67,,,
Ajuda (Ajuda | Norte),Parque das Nacoes (Parque Nacoes | Norte),,,,,,,,,,,
Ajuda (Ajuda | Norte),Parque das Nacoes (Parque Nacoes | Sul),1,0.3,3,3.00,0.000,23.842,54.191,,,,
Ajuda (Ajuda | Norte),Parque das Nacoes (Parque Tejo),,,,,,,,,,,
Ajuda (Ajuda | Norte),Parque das Nacoes (Quinta Laranjeiras),,,,,,,,,,,
Ajuda (Ajuda | Norte),Penha de Franca (Penha Franca),3,0.8,6,2.00,0.085,25.220,44.235,100,,,
Ajuda (Ajuda | Norte),Penha de Franca (Sao Joao),5,1.3,4,0.80,0.139,16.897,48.974,99,,,
Ajuda (Ajuda | Norte),Santa Clara (Ameixoeira | Norte),3,0.8,6,2.00,0.000,7.152,31.956,,,,
Ajuda (Ajuda | Norte),Santa Clara (Ameixoeira | Sul),13,3.3,15,1.15,0.008,14.236,38.175,100,,,
Ajuda (Ajuda | Norte),Santa Maria Maior (Baixa),7,1.8,12,1.71,0.105,153.602,27.120,96.39,,,
Ajuda (Ajuda | Norte),Santa Maria Maior (Castelo),,,,,,,,,,,
Ajuda (Ajuda | Norte),Santo Antonio (Amoreiras),,,,,,,,,,,
Ajuda (Ajuda | Norte),Santo Antonio (Sao Jose),104,26.0,17,0.16,0.000,2.335,15.062,88,,,
Ajuda (Ajuda | Norte),Santo Antonio (Sao Mamede),116,29.0,12,0.10,0.000,0.954,8.541,93.14,,,
Ajuda (Ajuda | Norte),Sao Domingos de Benfica (Estrada Luz | Este),6,1.5,10,1.67,0.272,26.384,45.247,95.9,,,
Ajuda (Ajuda | Norte),Sao Domingos de Benfica (Estrada Luz | Oeste),8,2.0,13,1.63,0.054,15.982,32.116,100,,,
Ajuda (Ajuda | Norte),Sao Domingos de Benfica (Monsanto | Norte),,,,,,,,,,,
Ajuda (Ajuda | Norte),Sao Domingos de Benfica (Sao Domingos de Benfica),30,7.5,33,1.10,0.062,20.227,37.395,96.57,,,
Ajuda (Ajuda | Norte),Sao Domingos de Benfica (Sete Rios | Norte),2,0.5,7,3.50,0.262,13.672,35.063,88.25,,,
Ajuda (Ajuda | Norte),Sao Domingos de Benfica (Sete Rios | Sul),2,0.5,4,2.00,0.026,31.477,53.808,100,,,
Ajuda (Ajuda | Norte),Sao Vicente de Fora (Sao Vicente),5,1.3,7,1.40,0.000,17.570,40.640,100,,,
Ajuda (Ajuda | Oeste),Ajuda (Ajuda | Norte),7,1.8,8,1.14,0.072,17.129,22.977,99.29,,,
Ajuda (Ajuda | Oeste),Ajuda (Ajuda | Oeste),10,2.5,17,1.70,0.130,28.200,37.716,90.93,,,
Ajuda (Ajuda | Oeste),Ajuda (Ajuda | Sul),76,19.0,19,0.25,0.009,4.132,7.652,95.1,,,
Ajuda (Ajuda | Oeste),Ajuda (Restelo),24,6.0,6,0.25,0.024,4.528,6.348,92.23,,,
Ajuda (Ajuda | Oeste),Alcantara (Santo Amaro | Norte),,,,,,,,,,,
Ajuda (Ajuda | Oeste),Alcantara (Santo Amaro | Oeste),1,0.3,3,3.00,0.199,92.390,125.400,88.5,,,
