,nr_serie,istation,idate,fdate,icarreira,isentido,ivariante,fstation,fcarreira,fsentido,fvariante,transfer_count,transfer_sum_time,transfer_sum_distance,travel_time,travel_distance,trust,cod_titulo,itaz,ftaz
0,NA,4502,NA,NA,728,DESC,0,9604,728,DESC,0,0,0,0,654,0,100,31900,Santa Maria Maior (Baixa),Belem (Belem | Oeste)
1,NA,4502,NA,NA,728,DESC,0,9604,728,DESC,0,0,0,0,654,0,100,31900,Santa Maria Maior (Baixa),Belem (Belem | Oeste)
2,NA,4502,NA,NA,728,DESC,0,9604,728,DESC,0,0,0,0,654,0,100,31900,Santa Maria Maior (Baixa),Belem (Belem | Oeste)
3,NA,4502,NA,NA,728,DESC,0,9604,728,DESC,0,0,0,0,654,0,100,31900,Santa Maria Maior (Baixa),Belem (Belem | Oeste)
4,NA,9609,NA,NA,15E,DESC,5,5512,15E,DESC,5,0,0,0,569,0,93,31900,Belem (Belem | Oeste),Santa Maria Maior (Baixa)
5,NA,9609,NA,NA,714,DESC,0,5519,714,DESC,0,0,0,0,661,0,90,31900,Belem (Belem | Oeste),Santa Maria Maior (Baixa)
6,NA,9609,NA,NA,15E,DESC,5,5512,15E,DESC,5,0,0,0,569,0,93,31900,Belem (Belem | Oeste),Santa Maria Maior (Baixa)
7,NA,9609,NA,NA,15E,DESC,5,5512,15E,DESC,5,0,0,0,569,0,93,31900,Belem (Belem | Oeste),Santa Maria Maior (Baixa)
8,NA,4502,NA,NA,728,DESC,0,10202,728,DESC,0,0,0,0,288,0,100,31900,Santa Maria Maior (Baixa),Estrela (Ribeirinha - Belem)
9,NA,2008,NA,NA,736,DESC,0,5508,736,DESC,0,0,0,0,504,0,76,31900,Alvalade (Campo Grande),Santa Maria Maior (Baixa)
10,NA,8438,NA,NA,708,DESC,0,8404,29B,CIRC,0,1,1525,320.7,1747,0,90.5,3032779,Olivais (Olivais - Centro),Olivais (Relogio)
11,NA,2410,NA,NA,728,ASC,0,7905,728,ASC,0,0,0,0,647,0,100,3133592,Parque das Nacoes (Parque Nacoes | Sul),
12,NA,7906,NA,NA,728,DESC,0,2409,728,DESC,0,0,0,0,726,0,100,3133592,,Parque das Nacoes (Parque Nacoes | Sul)
13,NA,10819,NA,NA,799,ASC,0,10913,799,ASC,0,0,0,0,110,0,84,3133592,Benfica (Colegio Militar/Luz),Benfica (Benfica | Norte)
14,NA,10903,NA,NA,729,DESC,0,10812,729,DESC,0,0,0,0,144,0,100,3133592,Benfica (Benfica | Sul),Benfica (Colegio Militar/Luz)
15,NA,13213,NA,NA,729,DESC,0,2808,729,DESC,0,0,0,0,879,0,100,3133592,Belem (Belem | Oeste),Benfica (Benfica | Sul)
16,NA,2807,NA,NA,729,ASC,0,13208,729,ASC,0,0,0,0,982,0,100,3133592,Benfica (Benfica | Sul),Belem (Belem | Oeste)
17,NA,8502,NA,NA,711,DESC,0,89906,794,ASC,0,1,309,20.6,2070,0,100,3032779,Campo de Ourique (Amoreiras),Marvila (Marechal Gomes da Costa)
18,NA,10305,NA,NA,742,DESC,1,1806,742,DESC,1,0,0,0,743,0,100,3032779,Ajuda (Ajuda | Sul),Avenidas Novas (Picoas)
19,NA,4110,NA,NA,714,ASC,0,18102,714,ASC,0,0,0,0,691,0,100,3133592,Belem (Belem | Este),
20,NA,9905,NA,NA,53E,DESC,0,10507,53E,DESC,0,0,0,0,0,0,100,3033581,Misericordia (Sao Paulo),Misericordia (Bairro Alto)
21,NA,89906,NA,NA,755,ASC,0,89903,755,DESC,0,3,5872,166.5,7705,0,100,3032779,Marvila (Marechal Gomes da Costa),Marvila (Marechal Gomes da Costa)
22,NA,3801,NA,NA,735,ASC,1,7009,735,ASC,1,0,0,0,413,0,62,3133592,Misericordia (Sao Paulo),Penha de Franca (Penha Franca)
23,NA,10514,NA,NA,28E,ASC,8,8017,28E,ASC,8,0,0,0,775,0,100,3133592,Santa Maria Maior (Baixa),Estrela (Alcantara)
24,NA,10514,NA,NA,28E,ASC,8,8017,28E,ASC,8,0,0,0,775,0,86,3133592,Santa Maria Maior (Baixa),Estrela (Alcantara)
25,NA,3819,NA,NA,25E,ASC,0,8017,25E,ASC,0,0,0,0,609,0,100,3133592,Misericordia (Sao Paulo),Estrela (Alcantara)
26,NA,7805,NA,NA,728,DESC,0,3820,728,DESC,0,0,0,0,1144,0,84,3133592,Parque das Nacoes (Estacao Oriente),Misericordia (Sao Paulo)
27,NA,8029,NA,NA,709,DESC,0,1002,709,DESC,0,0,0,0,450,0,64,3133592,Estrela (Alcantara),Santa Maria Maior (Baixa)
28,NA,1229,NA,NA,748,ASC,0,18102,748,ASC,0,0,0,0,607,0,100,3133592,Santo Antonio (Sao Jose),
29,NA,18102,NA,NA,748,ASC,0,1229,748,DESC,0,1,604,21.8,1911,0,100,3133592,,Santo Antonio (Sao Jose)
30,NA,10601,NA,NA,758,ASC,0,10702,758,ASC,0,0,0,0,1208,0,71,3133592,Misericordia (Bairro Alto),Sao Domingos de Benfica (Sao Domingos de Benfica)
31,NA,3606,NA,NA,794,ASC,0,7814,794,ASC,0,0,0,0,1062,0,100,3032779,Marvila (Bairro Armador),Parque das Nacoes (Estacao Oriente)
32,NA,1607,NA,NA,746,ASC,0,1610,746,DESC,0,2,3289,34.5,3966,0,100,3032779,Sao Domingos de Benfica (Sete Rios | Norte),Sao Domingos de Benfica (Sete Rios | Norte)
33,NA,1607,NA,NA,746,ASC,0,10814,746,ASC,0,0,0,0,193,0,66,3032779,Sao Domingos de Benfica (Sete Rios | Norte),Benfica (Colegio Militar/Luz)
34,NA,6805,NA,NA,720,DESC,0,6810,706,DESC,0,1,2505,158.2,2691,0,100,3032779,Santo Antonio (Sao Mamede),Santo Antonio (Amoreiras)
35,NA,1218,NA,NA,706,ASC,0,9820,706,ASC,0,0,0,0,419,0,50,3133592,Santo Antonio (Sao Jose),Penha de Franca (Sao Joao)
36,NA,9125,NA,NA,712,ASC,0,1202,712,ASC,0,0,0,0,637,0,97,3133592,Sao Vicente de Fora (Sao Vicente),Santo Antonio (Sao Jose)
37,NA,6106,NA,NA,713,DESC,0,11111,713,DESC,0,0,0,0,234,0,99,3032779,Campolide (Campolide),Arroios (Arroios | Norte)
38,NA,3807,NA,NA,758,ASC,0,8513,758,ASC,0,0,0,0,612,0,100,3133592,Misericordia (Sao Paulo),Campo de Ourique (Amoreiras)
39,NA,8514,NA,NA,758,DESC,0,3807,758,DESC,0,0,0,0,288,0,100,3133592,Campo de Ourique (Amoreiras),Misericordia (Sao Paulo)
40,NA,1209,NA,NA,748,ASC,0,1223,748,ASC,0,0,0,0,79,0,28,3032779,Avenidas Novas (Parque Eduardo VII),Avenidas Novas (Parque Eduardo VII)
41,NA,3011,NA,NA,764,DESC,0,3010,764,ASC,0,1,1874,78.7,2556,0,100,3032779,,
42,NA,2812,NA,NA,750,DESC,0,7813,750,DESC,0,0,0,0,1136,0,100,31900,Benfica (Benfica | Sul),Parque das Nacoes (Estacao Oriente)
43,NA,12804,NA,NA,764,ASC,0,3014,764,ASC,0,0,0,0,516,0,100,3032779,Carnide (Avenidas Novas),
44,NA,10919,NA,NA,724,DESC,0,12118,724,DESC,0,0,0,0,1021,0,100,3032779,Benfica (Benfica | Sul),Alcantara (Santo Amaro | Norte)
45,NA,50018,NA,NA,767,DESC,0,5824,767,DESC,0,0,0,0,245,0,100,3032779,Lumiar (Telheiras | Oeste),Lumiar (Telheiras | Este)
46,NA,50018,NA,NA,767,DESC,0,5824,767,DESC,0,0,0,0,245,0,100,3032779,Lumiar (Telheiras | Oeste),Lumiar (Telheiras | Este)
47,NA,5810,NA,NA,767,ASC,0,50019,767,ASC,0,0,0,0,393,0,100,3032779,Lumiar (Parque Europa),Lumiar (Telheiras | Oeste)
48,NA,11008,NA,NA,767,DESC,0,12803,767,DESC,0,0,0,0,671,0,100,3032779,Benfica (Benfica | Norte),Carnide (Avenidas Novas)
49,NA,12804,NA,NA,767,ASC,0,11010,767,ASC,0,0,0,0,733,0,100,3032779,Carnide (Avenidas Novas),Benfica (Benfica | Norte)
50,NA,8443,NA,NA,708,ASC,0,79117,708,ASC,0,0,0,0,588,0,100,3032779,Olivais (Olivais - Centro),Parque das Nacoes (Parque Tejo)
51,NA,4224,NA,NA,750,DESC,0,10907,724,ASC,0,1,1026,109.9,1741,0,61,3032779,,Benfica (Colegio Militar/Luz)
52,NA,4225,NA,NA,750,ASC,0,4209,723,DESC,0,1,208,30.8,318,0,80.5,3032779,,Belem (Belem | Oeste)
53,NA,8814,NA,NA,750,ASC,0,4225,750,ASC,0,0,0,0,658,0,100,3032779,Benfica (Benfica | Sul),
54,NA,10816,NA,NA,750,ASC,0,4201,750,ASC,0,0,0,0,1029,0,100,3133592,Benfica (Colegio Militar/Luz),Belem (Belem | Oeste)
55,NA,4206,NA,NA,723,DESC,0,1212,723,DESC,0,0,0,0,1388,0,100,3133592,,Santo Antonio (Sao Mamede)
56,NA,4219,NA,NA,15E,DESC,1,5512,15E,DESC,5,1,438,0,1277,0,90,3133592,,Santa Maria Maior (Baixa)
57,NA,18401,NA,NA,751,DESC,0,9603,729,DESC,0,1,542,62.7,918,0,100,3032779,,Belem (Belem | Oeste)
58,NA,9604,NA,NA,751,ASC,0,18402,751,ASC,0,0,0,0,540,0,100,3032779,Belem (Belem | Oeste),
59,NA,10812,NA,NA,729,DESC,0,14110,729,DESC,0,0,0,0,246,0,100,3032779,Benfica (Colegio Militar/Luz),Carnide (Carnide)
60,NA,14111,NA,NA,729,ASC,0,10823,729,ASC,0,0,0,0,251,0,100,3032779,Carnide (Carnide),Benfica (Colegio Militar/Luz)
61,NA,2001,NA,NA,754,ASC,0,10702,754,ASC,0,0,0,0,305,0,100,31906,Alvalade (Roma - Areeiro | Oeste),Sao Domingos de Benfica (Sao Domingos de Benfica)
62,NA,7701,NA,NA,759,ASC,0,7817,759,ASC,0,0,0,0,658,0,100,3133592,Olivais (Olivais - Centro),Parque das Nacoes (Estacao Oriente)
63,NA,2204,NA,NA,781,ASC,0,7717,781,ASC,0,0,0,0,427,0,100,3032779,Marvila (Infante Dom Henrique - Porto | Este),Olivais (Olivais | Norte)
64,NA,2316,NA,NA,781,ASC,0,7717,781,ASC,0,0,0,0,364,0,100,3032779,Parque das Nacoes (Parque Nacoes | Sul),Olivais (Olivais | Norte)
65,NA,7718,NA,NA,781,DESC,0,2203,781,DESC,0,0,0,0,477,0,100,3032779,Olivais (Olivais - Centro),Marvila (Infante Dom Henrique - Porto | Este)
66,NA,7718,NA,NA,781,DESC,0,2307,781,DESC,0,0,0,0,421,0,100,3032779,Olivais (Olivais - Centro),Marvila (Infante Dom Henrique - Porto | Este)
67,NA,7718,NA,NA,781,DESC,0,2203,781,DESC,0,0,0,0,477,0,100,3032779,Olivais (Olivais - Centro),Marvila (Infante Dom Henrique - Porto | Este)
68,NA,7701,NA,NA,759,ASC,0,7824,759,ASC,0,0,0,0,486,0,100,3032779,Olivais (Olivais - Centro),Parque das Nacoes (Parque Nacoes | Norte)
69,NA,7823,NA,NA,759,DESC,0,7702,759,DESC,0,0,0,0,439,0,100,3032779,Parque das Nacoes (Parque Nacoes | Norte),Olivais (Relogio)
70,NA,50016,NA,NA,767,DESC,0,8409,750,DESC,0,1,1615,0,2250,0,100,3133592,Carnide (Avenidas Novas),Marvila (Marechal Gomes da Costa)
71,NA,8406,NA,NA,750,ASC,0,50015,767,ASC,0,1,777,0,1598,0,100,3133592,Olivais (Olivais - Centro),Lumiar (Telheiras | Oeste)
72,NA,11321,NA,NA,783,DESC,0,8443,708,ASC,0,2,2014,227.8,2659,0,99,3133592,Alvalade (Avenida do Brasil),Olivais (Olivais - Centro)
73,NA,8438,NA,NA,708,DESC,0,11301,750,ASC,0,1,595,25.4,1053,0,100,3133592,Olivais (Olivais - Centro),Alvalade (Avenida do Brasil)
74,NA,7103,NA,NA,727,DESC,0,1205,727,DESC,0,0,0,0,218,0,90,3032779,Misericordia (Sao Paulo),Santo Antonio (Sao Jose)
75,NA,801,NA,NA,28E,ASC,8,8017,28E,ASC,8,0,0,0,1331,0,100,3133592,Santa Maria Maior (Castelo),Estrela (Alcantara)
76,NA,8017,NA,NA,28E,DESC,8,801,28E,DESC,8,0,0,0,689,0,100,3133592,Estrela (Alcantara),Santa Maria Maior (Castelo)
77,NA,301,NA,NA,720,ASC,0,6804,720,ASC,0,0,0,0,1230,0,100,3133592,Areeiro (Alto Pina),Santo Antonio (Sao Mamede)
78,NA,12005,NA,NA,742,DESC,1,12004,742,ASC,0,2,1563,45.1,1800,0,100,3133592,Alcantara (Santo Amaro | Sul),Alcantara (Santo Amaro | Sul)
79,NA,12403,NA,NA,714,DESC,0,910,714,DESC,0,0,0,0,934,0,100,3133592,Ajuda (Restelo),Santa Maria Maior (Baixa)
80,NA,910,NA,NA,714,ASC,0,12404,714,ASC,0,0,0,0,955,0,100,3133592,Santa Maria Maior (Baixa),Ajuda (Restelo)
81,NA,7908,NA,NA,705,ASC,0,308,705,ASC,0,0,0,0,1145,0,100,3133592,Parque das Nacoes (Quinta Laranjeiras),Areeiro (Areeiro | Norte)
82,NA,18128,NA,NA,799,DESC,0,10819,799,DESC,0,0,0,0,627,0,100,3032779,,Benfica (Colegio Militar/Luz)
83,NA,10209,NA,NA,727,DESC,0,2005,727,DESC,0,0,0,0,593,0,100,132769,Estrela (Lapa),Alvalade (Roma - Areeiro | Este)
84,NA,2016,NA,NA,727,ASC,0,10210,727,ASC,0,0,0,0,599,0,100,132769,Alvalade (Alvalade),Estrela (Lapa)
85,NA,7103,NA,NA,727,DESC,0,314,727,DESC,0,0,0,0,649,0,89,132769,Misericordia (Sao Paulo),Alvalade (Roma - Areeiro | Este)
86,NA,12011,NA,NA,760,DESC,0,905,760,DESC,0,0,0,0,484,0,100,132769,Alcantara (Santo Amaro | Sul),Santa Maria Maior (Baixa)
87,NA,906,NA,NA,760,ASC,0,12012,760,ASC,0,0,0,0,481,0,100,132769,Santa Maria Maior (Baixa),Alcantara (Santo Amaro | Sul)
88,NA,1010,NA,NA,736,ASC,0,1807,736,ASC,0,0,0,0,207,0,100,3032779,Santa Maria Maior (Baixa),Arroios (Estefania)
89,NA,9901,NA,NA,714,ASC,0,7103,727,DESC,0,1,2196,112.5,2702,0,83,3032779,Misericordia (Sao Paulo),Misericordia (Sao Paulo)
90,NA,2111,NA,NA,794,ASC,0,3606,794,ASC,0,0,0,0,486,0,100,3133592,Santa Maria Maior (Castelo),Marvila (Bairro Armador)
91,NA,13810,NA,NA,737,DESC,0,5602,737,DESC,0,0,0,0,310,0,83,3033581,Santa Maria Maior (Castelo),Santa Maria Maior (Baixa)
